iter	MultiClass
0	2.662427148
1	2.470300525
2	2.324716302
3	2.20987008
4	2.110309003
5	2.026718735
6	1.951569399
7	1.883518893
8	1.824146702
9	1.769873659
10	1.719591767
11	1.673243039
12	1.628437569
13	1.589123713
14	1.552918494
15	1.51810615
16	1.486073722
17	1.455852561
18	1.426207421
19	1.398694603
20	1.37244567
21	1.346669777
22	1.322459447
23	1.301259493
24	1.27890859
25	1.259993468
26	1.240109025
27	1.221084235
28	1.203359102
29	1.187169622
30	1.171263046
31	1.156040319
32	1.141562903
33	1.126680445
34	1.1120615
35	1.097990724
36	1.085634326
37	1.072487264
38	1.059938797
39	1.048897104
40	1.037742328
41	1.027195115
42	1.017533027
43	1.006557589
44	0.9968570369
45	0.9866477575
46	0.9779946442
47	0.9694359596
48	0.9607910933
49	0.9515315577
50	0.9437230925
51	0.9367629691
52	0.9282061573
53	0.9198740467
54	0.9125483424
55	0.9053910949
56	0.8975908205
57	0.8909218029
58	0.8847252594
59	0.8781977076
60	0.8726647008
61	0.8662371366
62	0.8598169644
63	0.8535090486
64	0.847371492
65	0.8423964924
66	0.8364936428
67	0.8320952334
68	0.8279023007
69	0.8222432746
70	0.8167974717
71	0.812598387
72	0.8085999461
73	0.8044736026
74	0.8001152471
75	0.7949361603
76	0.7909691689
77	0.7866888428
78	0.78289312
79	0.7797430929
80	0.7755509257
81	0.7727032232
82	0.76943711
83	0.7650993367
84	0.7613403934
85	0.7588170628
86	0.7551485229
87	0.7514497987
88	0.7488080825
89	0.7460004703
90	0.7427668695
91	0.7395602576
92	0.7368854824
93	0.7345038632
94	0.7319164714
95	0.7284088705
96	0.7257085048
97	0.7237651452
98	0.7212778801
99	0.718726206
100	0.7164574896
101	0.7135616746
102	0.7114446653
103	0.7088084051
104	0.7068106224
105	0.7039885915
106	0.7013694809
107	0.6994861933
108	0.6969934779
109	0.6954439525
110	0.6925846832
111	0.6911256595
112	0.6891818366
113	0.6869768718
114	0.6848035624
115	0.6831924744
116	0.6809140724
117	0.6785710058
118	0.6762293894
119	0.6751057823
120	0.6728415004
121	0.6715102953
122	0.6699333645
123	0.6682668074
124	0.6668487145
125	0.6650643836
126	0.6633340293
127	0.6621466363
128	0.6601853305
129	0.658281459
130	0.6565111582
131	0.6554884807
132	0.6542001121
133	0.6527284808
134	0.6507002197
135	0.6493754946
136	0.6484352841
137	0.6464891089
138	0.6454639651
